,OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,Latitude,Longitude
4273,67619,7-ELEVEN #40442,"I-80, MM 21W",West Unity,OH,550,3.66233333,41.606380,-84.458830
4274,67620,LOVES TRAVEL STOP #452,"I-35, EXIT 70",Pauls Valley,OK,253,3.649,34.709060,-97.247490
4275,67621,FLYING J TRAVEL PLAZA #925- TOWN PUMP,"I-15, EXIT 277",Great Falls,MT,815,3.63566666,47.508330,-111.281620
4276,67622,LOVES TRAVEL STOP #454,"I-5/US-12, EXIT 72",Chehalis,WA,977,4.589,46.602700,-122.904890
4277,67623,LOVES TRAVEL STOP #301,"I-90, EXIT 2",Post Falls,ID,970,3.74566666,47.707050,-117.007180
4278,67624,LOVES TRAVEL STOP #300,I-70 EXIT 304,Bennett,CO,800,3.32566666,39.738120,-104.437790
4279,67625,LOVES TRAVEL STOP #453,"I-10, EXIT 130 & US-231",Cottondale,FL,20,3.553,30.752910,-85.381660
4280,67625,LOVES TRAVEL STOPS #453,"I-10, EXIT 130 & US-231",Cottondale,FL,20,3.589,30.752910,-85.381660
4281,67626,KWIK TRIP #316,SR-15 N/SR-22 E,Hutchinson,MN,451,3.279,44.896560,-94.368860
4282,67627,PILOT #4556,"I-75, EXIT 329",Wildwood,FL,225,3.22566666,28.879950,-82.093020
4283,67627,PILOT TRAVEL CENTER #4556,"I-75, EXIT 329",Wildwood,FL,225,3.319,28.879950,-82.093020
4284,67628,LOVES TRAVEL STOP #394,"I-65,EXIT 230",Demotte,IN,365,3.51233333,41.148780,-87.266070
4285,67629,KWIK TRIP #681,"I-94, EXIT 205",Saint Michael,MN,451,3.29733333,45.220540,-93.600200
4286,67630,KWIK TRIP #630,US-151/SR-32/SR-57,Chilton,WI,582,3.36566666,44.030770,-88.162880
4287,67634,54 TRUCK STOP,US-54,Mullinville                             ,KS,357,3.46566666,37.578060,-99.500930
4288,67635,LOVES TRAVEL STOP #456,I-280 EXIT 1B,Perrysburg,OH,550,3.76066666,41.563550,-83.460800
4289,67636,LOVES TRAVEL STOPS #258,"I-35, EXIT 183",Ottawa,KS,336,3.239,38.573590,-95.274330
4290,67636,LOVES TRAVEL STOP #258,"I-35, EXIT 183",Ottawa,KS,336,3.263,38.573590,-95.274330
4291,67637,Power Gas & Truck Stop,US-1/US-9/US-46 & SR-5,Palisades Park                          ,NJ,115,3.219,40.844340,-74.009060
4292,67641,DANIEL BOONE TRAVEL CENTER,US-23 /US-421/US-58 & SR-871,Duffield,VA,405,3.55733333,36.710880,-82.806880
4293,67642,GO MART FOOD STORE #103,SR-16 & CR 50/39,Ellenboro                               ,WV,44,3.699,39.266960,-81.057250
4294,67643,QUALITY MART #62,I-77 EXIT 82,Jonesville,NC,65,2.859,36.236020,-80.816590
4295,67644,PARKERS #31 (DISCOUNT AVAILABLE),US-80/SR-26 & US-280,Ellabell,GA,195,3.03233333,32.196850,-81.438390
4296,67645,CIRCLE K #2721416,US-441 & SR-20,Gainesville,FL,75,3.899,29.651970,-82.321230
4297,67647,BUCHS TRUCK STOP,SR-7,Steubenville                            ,OH,542,3.69233333,40.359900,-80.611550
4298,67650,VIRGINIA FAST STOP,SR-78 & SR-125,Virginia,IL,318,3.759,39.953390,-90.207380
4299,67651,SIMMONS,US-60/SR-21,Ellsinore,MO,275,3.424,36.984050,-90.884420
4300,67652,ON THE GO TRAVEL CENTER,"I-435, EXIT 8",Kansas City,KS,400,3.999,39.120210,-94.812850
4301,67655,CIRCLE K #2706627,"I-10, EXIT 261",Slidell,LA,725,3.189,30.269440,-89.752090
4302,67656,KWIK TRIP #888,US-10/US-49 & SR-54,Waupaca,WI,395,3.45733333,44.329490,-89.027890
4303,67657,KWIK TRIP #463,US-52/SR-60,Zumbrota,MN,515,3.524,44.279540,-92.666230
4304,67658,MIRABITO #41,I-81 EXIT 13,Tully                                   ,NY,12,4.299,42.796280,-76.123360
4305,67664,CEFCO #16,SR-171,Godley,TX,637,2.98233333,32.454400,-97.541600
4306,67665,ALL STAR,US-75 N,Sabetha                                 ,KS,553,3.499,39.894860,-95.788290
4307,67666,5 STAR TRUCK STOP,"I-44, EXIT 137",Oklahoma City,OK,483,2.879,35.590100,-97.435660
4308,67668,ADVENTURE TRUCK PLAZA,SR-3185 & SR-3107,Thibodaux,LA,623,3.399,29.784120,-90.859380
4309,67669,ONE9 #1271,SR-86,Thermal,CA,900,4.299,33.327290,-116.000230
4310,67669,CHEVRON DBA ONE9 #1271,SR-86,Thermal,CA,900,4.259,33.327290,-116.000230
4311,67676,VALERO,"I-530/US-65, EXIT 34 & SR-365",White Hall,AR,695,3.16566666,34.283100,-92.117070
4312,67677,BIGGAS TRUCK STOP,US-190/SR-6 & FM-2818,Bryan,TX,670,3.199,30.620810,-96.376940
4313,67678,7-ELEVEN #40301,I-90/I-80,Genoa,OH,550,3.66233333,41.505810,-83.402350
4314,67682,CASEYS #2739,1323 E MAIN ST,Beloit,KS,336,3.359,39.458730,-98.091620
4315,67683,CASEYS #2734,"I-80, EXIT 222",Cozad,NE,330,3.03233333,40.842120,-99.982360
